,Unnamed: 0,company_name,Date,Share Type,Amount Raised,Raised to Date,Issue Price,Post Money Valuation,Key Investors,Price Per Share,Shares Outstanding,Percent Shares Outstanding,Liquidation Pref Order,Liquidation Pref As Multiplier,Conversion Ratio,Participating,Participation Cap,Dividend Rate,Cumulative,Investors
0,0,anthropic,Mar 2024,Series D-3,$3.42B,$6.98B,$30.00,$18.4B,Amazon,$2.57,"48,574,420",20.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Jaan Tallinn, James McClave, Dustin Moskovitz, Eric Schmidt, Center for Emerging Risk Research"
1,1,anthropic,Mar 2024,Series D-2,$120MM,$3.67B,$27.00,$18.4B,Amazon,$2.57,"48,574,420",20.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Jaan Tallinn, James McClave, Dustin Moskovitz, Eric Schmidt, Center for Emerging Risk Research"
2,2,anthropic,Oct 2023,Series D-1,$2B,$3.55B,$30.00,$14.55B,Google,$2.57,"48,574,420",20.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Jaan Tallinn, James McClave, Dustin Moskovitz, Eric Schmidt, Center for Emerging Risk Research"
3,3,anthropic,May 2023,Series C-2,$150MM,$1.26B,$11.23,$4.99B,"Google, Salesforce Ventures, Sound Ventures",$2.57,"48,574,420",20.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Jaan Tallinn, James McClave, Dustin Moskovitz, Eric Schmidt, Center for Emerging Risk Research"
4,4,anthropic,May 2023,Series C-1,$296.34MM,$1.4B,$11.23,$4.99B,"Google, Salesforce Ventures, Sound Ventures",$2.57,"48,574,420",20.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Jaan Tallinn, James McClave, Dustin Moskovitz, Eric Schmidt, Center for Emerging Risk Research"
5,5,anthropic,Feb 2023,Series B,$981.5MM,$1.11B,$11.23,$4.02B,"Sam Bankman-Fried, Caroline Ellison, Jim McClave",$2.57,"48,574,420",20.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Jaan Tallinn, James McClave, Dustin Moskovitz, Eric Schmidt, Center for Emerging Risk Research"
6,6,anthropic,May 2021,Series A,$124.62MM,$124.62MM,$2.57,$623.11MM,"Jaan Tallinn, James McClave, Dustin Moskovitz",$2.57,"48,574,420",20.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Jaan Tallinn, James McClave, Dustin Moskovitz, Eric Schmidt, Center for Emerging Risk Research"
7,7,liquid-death,Mar 2024,Series F-1,$67.61MM,$341.92MM,$12.87,$1.4B,"SuRo Capital, Live Nation, Science Inc.",$0.26,"10,307,765",40.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Science Inc., Michael Ryan Dubin, Jen Rubio, Biz Stone"
8,8,liquid-death,May 2023,Series E,$76.5MM,$274.31MM,$9.66,$1B,Bridge Builder Ventures Group,$0.26,"10,307,765",40.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Science Inc., Michael Ryan Dubin, Jen Rubio, Biz Stone"
9,9,liquid-death,Oct 2022,Series D,$70.1MM,$197.8MM,$6.83,$704.76MM,"Science Ventures, Live Nation Entertainment, Swedish House Mafia",$0.26,"10,307,765",40.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Science Inc., Michael Ryan Dubin, Jen Rubio, Biz Stone"
10,10,liquid-death,Jan 2022,Series C,$75MM,$127.7MM,$6.02,$538.85MM,"Science, PowerPlant Partners, Nomad Venture Fund",$0.26,"10,307,765",40.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Science Inc., Michael Ryan Dubin, Jen Rubio, Biz Stone"
11,11,liquid-death,May 2021,Series B-1,$15MM,$52.7MM,$2.62,$152.21MM,"Live Nation, Wiz Khalifa, Steve Aoki",$0.26,"10,307,765",40.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Science Inc., Michael Ryan Dubin, Jen Rubio, Biz Stone"
12,12,liquid-death,Sep 2020,Series B,$22.95MM,$37.7MM,$1.92,$102.14MM,"Velvet Sea Ventures, Uncommon Denominator, Pat Mcfee",$0.26,"10,307,765",40.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Science Inc., Michael Ryan Dubin, Jen Rubio, Biz Stone"
13,13,liquid-death,Feb 2020,Series A,$10MM,$12.65MM,$1.25,$49.93MM,"Velvet Sea Ventures, Siphia Amoruso, Science",$0.26,"10,307,765",40.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Science Inc., Michael Ryan Dubin, Jen Rubio, Biz Stone"
14,14,liquid-death,Feb 2020,Series A-1,$2.1MM,$4.75MM,$1.25,$49.93MM,"Velvet Sea Ventures, Siphia Amoruso, Science",$0.26,"10,307,765",40.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Science Inc., Michael Ryan Dubin, Jen Rubio, Biz Stone"
15,15,liquid-death,May 2019,Series Seed,$2.65MM,$2.65MM,$0.26,$6.64MM,"Science Inc., Michael Ryan Dubin, Jen Rubio",$0.26,"10,307,765",40.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Science Inc., Michael Ryan Dubin, Jen Rubio, Biz Stone"
16,16,flexport,Sep 2017,Series C,$159.68MM,$249.05MM,$3.55,$953.3MM,"DST Global, Founders Fund, Susa Ventures",$0.68,"42,231,600",28.1%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Founders Fund, 7percent Ventures, Ceyuan Ventures, Felicis Ventures, Fenway Summer Ventures, FJ Labs, Initialized Capital, A-Grade Investments, Bloomberg Beta, Cherubic Ventures, First Round Capital, FUEL Capital, Google Ventures, Susa Ventures, Y Combinator"
17,17,flexport,Sep 2016,Series B-1,$60.46MM,$89.24MM,$1.81,$380.57MM,"Founders Fund, Bloomberg Beta, Felicis Ventures",$0.68,"42,231,600",28.1%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Founders Fund, 7percent Ventures, Ceyuan Ventures, Felicis Ventures, Fenway Summer Ventures, FJ Labs, Initialized Capital, A-Grade Investments, Bloomberg Beta, Cherubic Ventures, First Round Capital, FUEL Capital, Google Ventures, Susa Ventures, Y Combinator"
18,18,flexport,Sep 2016,Series B-2,$125K,$28.91MM,$0.68,$320.11MM,"Founders Fund, Bloomberg Beta, Felicis Ventures",$0.68,"42,231,600",28.1%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Founders Fund, 7percent Ventures, Ceyuan Ventures, Felicis Ventures, Fenway Summer Ventures, FJ Labs, Initialized Capital, A-Grade Investments, Bloomberg Beta, Cherubic Ventures, First Round Capital, FUEL Capital, Google Ventures, Susa Ventures, Y Combinator"
19,19,flexport,Aug 2015,Series A,$28.79MM,$28.79MM,$0.68,$102.54MM,"Founders Fund, 7percent Ventures, Ceyuan Ventures",$0.68,"42,231,600",28.1%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Founders Fund, 7percent Ventures, Ceyuan Ventures, Felicis Ventures, Fenway Summer Ventures, FJ Labs, Initialized Capital, A-Grade Investments, Bloomberg Beta, Cherubic Ventures, First Round Capital, FUEL Capital, Google Ventures, Susa Ventures, Y Combinator"
20,20,betterment,Sep 2021,Series F,$60MM,$336.99MM,$12.56,$1.28B,"Treasury, Kinnevik, Bessemer Venture Partners",$0.34,"8,749,162",35.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Bessemer Venture Partners, Anthemis Group, Reinmkr"
21,21,betterment,Jul 2017,Series E,$172MM,$276.99MM,$9.33,$722.81MM,"Kinnevik, Bessemer Venture Partners, Citi Ventures",$0.34,"8,749,162",35.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Bessemer Venture Partners, Anthemis Group, Reinmkr"
22,22,betterment,Feb 2015,Series D,$60MM,$104.99MM,$7.65,$499.87MM,"Francisco Partners, Haystack Partners, Anthemis Group",$0.34,"8,749,162",35.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Bessemer Venture Partners, Anthemis Group, Reinmkr"
23,23,betterment,Apr 2014,Series C,$32MM,$44.99MM,$2.62,$151.34MM,"Citi Ventures, Globespan Capital Partners, Menlo Ventures",$0.34,"8,749,162",35.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Bessemer Venture Partners, Anthemis Group, Reinmkr"
24,24,betterment,Sep 2012,Series B,$9.99MM,$12.99MM,$0.73,$32.75MM,"Menlo Ventures, Anthemis Group, Bessemer Venture Partners",$0.34,"8,749,162",35.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Bessemer Venture Partners, Anthemis Group, Reinmkr"
25,25,betterment,Nov 2010,Series A,$3MM,$3MM,$0.34,$8.57MM,"Bessemer Venture Partners, Anthemis Group, Reinmkr",$0.34,"8,749,162",35.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Bessemer Venture Partners, Anthemis Group, Reinmkr"
26,26,turo,Feb 2020,Series E,$240.52MM,$456.02MM,$10.14,$1.24B,"IAC, Manhattan Venture Partners, Allen & Co.",$0.90,"5,885,733",45.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"August Capital, Fontinalis Partners, GV"
27,27,turo,Feb 2020,Series E-1,$41.5MM,$256.99MM,$7.60,$1.24B,"IAC, Manhattan Venture Partners, Allen & Co.",$0.90,"5,885,733",45.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"August Capital, Fontinalis Partners, GV"
